"battery_level","version_name","device_id","timestamp"
0.82,"1.90.0",4045,2018-07-13 10:01:38
0.78,"1.90.0",4045,2018-07-13 10:24:49
0.77,"1.90.0",4045,2018-07-13 10:25:56
0.76,"1.90.0",4045,2018-07-13 10:26:56
0.75,"1.90.0",4045,2018-07-13 10:28:46
0.74,"1.90.0",4045,2018-07-13 10:29:56
0.73,"1.90.0",4045,2018-07-13 10:31:06
0.72,"1.90.0",4045,2018-07-13 10:32:42
0.71,"1.90.0",4045,2018-07-13 10:33:26
0.70,"1.90.0",4045,2018-07-13 10:34:33
0.69,"1.90.0",4045,2018-07-13 10:35:43
0.68,"1.90.0",4045,2018-07-13 10:37:53
0.67,"1.90.0",4045,2018-07-13 10:39:13
0.67,"1.90.0",4045,2018-07-13 17:40:56
0.66,"1.90.0",4045,2018-07-13 17:42:11
0.65,"1.90.0",4045,2018-07-13 17:43:13
0.64,"1.90.0",4045,2018-07-13 17:43:55
0.60,"1.89.0",6959,2013-01-01 02:52:50
0.61,"1.89.0",6959,2013-01-01 02:49:50
0.45,"1.90.0",4045,2018-07-14 20:52:11
0.83,"1.90.0",4045,2018-07-15 07:21:50
0.70,"1.90.0",4045,2018-07-14 19:57:06
0.75,"1.90.0",4045,2018-07-14 19:51:09
0.78,"1.90.0",4045,2018-07-14 19:48:06
0.86,"1.90.0",4045,2018-07-14 19:38:28
0.88,"1.90.0",4045,2018-07-14 19:32:04
0.90,"1.90.0",4045,2018-07-14 19:30:39
0.91,"1.90.0",4045,2018-07-14 19:29:02
0.92,"1.90.0",4045,2018-07-14 19:26:33
0.93,"1.90.0",4045,2018-07-14 19:23:54
0.94,"1.90.0",4045,2018-07-14 19:23:15
0.95,"1.90.0",4045,2018-07-14 19:22:06
0.96,"1.90.0",4045,2018-07-14 19:21:00
0.69,"1.90.0",4045,2018-07-14 19:58:02
0.68,"1.90.0",4045,2018-07-14 19:59:27
0.67,"1.90.0",4045,2018-07-14 20:00:19
0.66,"1.90.0",4045,2018-07-14 20:01:33
0.65,"1.90.0",4045,2018-07-14 20:02:42
0.64,"1.90.0",4045,2018-07-14 20:03:51
0.59,"1.90.0",4045,2018-07-14 20:12:31
0.58,"1.90.0",4045,2018-07-14 20:13:35
0.19,"1.89.0",6959,2018-07-14 22:16:25
0.19,"1.89.0",6959,2018-07-14 22:16:25
0.20,"1.89.0",6959,2018-07-14 22:13:24
0.21,"1.89.0",6959,2018-07-14 22:13:02
0.13,"1.90.0",4045,2018-07-15 14:32:18
0.16,"1.90.0",4045,2018-07-15 14:31:52
0.17,"1.90.0",4045,2018-07-15 14:31:31
0.19,"1.90.0",4045,2018-07-15 14:31:21
0.20,"1.90.0",4045,2018-07-15 14:31:11
0.21,"1.90.0",4045,2018-07-15 14:31:01
0.22,"1.90.0",4045,2018-07-15 14:30:57
0.26,"1.90.0",4045,2018-07-15 14:30:11
0.27,"1.90.0",4045,2018-07-15 14:30:01
0.28,"1.90.0",4045,2018-07-15 14:29:51
0.29,"1.90.0",4045,2018-07-15 14:29:41
0.30,"1.90.0",4045,2018-07-15 14:29:31
0.31,"1.90.0",4045,2018-07-15 14:29:21
0.32,"1.90.0",4045,2018-07-15 14:29:11
0.33,"1.90.0",4045,2018-07-15 14:29:08
0.39,"1.90.0",4045,2018-07-15 14:26:31
0.52,"1.90.0",4045,2018-07-17 11:05:29
0.53,"1.90.0",4045,2018-07-17 11:05:21
0.54,"1.90.0",4045,2018-07-17 11:03:28
0.69,"1.90.0",4045,2018-07-15 23:33:47
0.68,"1.90.0",4045,2018-07-15 23:34:59
0.67,"1.90.0",4045,2018-07-15 23:35:42
0.66,"1.90.0",4045,2018-07-15 23:38:35
0.65,"1.90.0",4045,2018-07-15 23:41:35
0.42,"1.90.0",4045,2018-07-16 16:39:24
0.43,"1.90.0",4045,2018-07-16 16:37:27
0.44,"1.90.0",4045,2018-07-16 16:36:22
0.87,"1.90.0",4045,2018-07-16 13:05:21
0.88,"1.90.0",4045,2018-07-16 13:04:11
0.89,"1.90.0",4045,2018-07-16 13:03:17
0.90,"1.90.0",4045,2018-07-16 13:01:51
0.91,"1.90.0",4045,2018-07-16 13:00:45
0.92,"1.90.0",4045,2018-07-16 12:59:43
0.93,"1.90.0",4045,2018-07-16 12:58:11
0.94,"1.90.0",4045,2018-07-16 12:57:02
0.95,"1.90.0",4045,2018-07-16 12:56:08
0.96,"1.90.0",4045,2018-07-16 12:54:47
0.53,"1.90.0",4045,2018-07-16 10:22:29
0.71,"1.90.0",4045,2018-07-17 17:36:58
0.89,"1.90.0",4045,2018-07-17 20:02:00
0.52,"1.90.0",4045,2018-07-17 21:24:03
0.51,"1.90.0",4045,2018-07-17 21:29:17
0.50,"1.90.0",4045,2018-07-17 21:53:26
0.33,"1.90.0",4045,2018-07-18 10:43:49
0.34,"1.90.0",4045,2018-07-18 10:42:45
0.93,"1.90.0",4045,2018-07-18 08:14:48
0.95,"1.90.0",4045,2018-07-18 06:38:39
0.96,"1.90.0",4045,2018-07-18 05:38:56
0.98,"1.90.0",4045,2018-07-18 02:40:49
0.99,"1.90.0",4045,2018-07-18 02:31:32
0.97,"1.90.0",4045,2018-07-18 03:33:47
0.04,"1.90.0",4045,2018-07-19 11:43:43
0.10,"1.90.0",4045,2018-07-19 11:42:47
0.11,"1.90.0",4045,2018-07-19 11:42:37
0.12,"1.90.0",4045,2018-07-19 11:42:27
0.13,"1.90.0",4045,2018-07-19 11:42:17
0.20,"1.90.0",4045,2018-07-19 11:41:07
0.21,"1.90.0",4045,2018-07-19 11:40:57
0.22,"1.90.0",4045,2018-07-19 11:40:27
0.23,"1.90.0",4045,2018-07-19 11:39:17
0.24,"1.90.0",4045,2018-07-19 11:38:07
0.25,"1.90.0",4045,2018-07-19 11:36:57
0.26,"1.90.0",4045,2018-07-19 11:35:47
0.27,"1.90.0",4045,2018-07-19 11:34:37
0.28,"1.90.0",4045,2018-07-19 11:33:27
0.29,"1.90.0",4045,2018-07-19 11:32:17
0.30,"1.90.0",4045,2018-07-19 11:31:20
0.31,"1.90.0",4045,2018-07-19 11:30:40
0.32,"1.90.0",4045,2018-07-19 11:29:11
0.33,"1.90.0",4045,2018-07-19 11:27:37
0.34,"1.90.0",4045,2018-07-19 11:26:27
0.35,"1.90.0",4045,2018-07-19 11:25:17
0.36,"1.90.0",4045,2018-07-19 11:24:07
0.37,"1.90.0",4045,2018-07-19 11:23:55
0.38,"1.90.0",4045,2018-07-19 11:22:49
0.39,"1.90.0",4045,2018-07-19 11:20:47
0.49,"1.90.0",4045,2018-07-19 10:16:30
0.50,"1.90.0",4045,2018-07-19 10:14:22
0.51,"1.90.0",4045,2018-07-19 10:12:13
0.52,"1.90.0",4045,2018-07-19 10:11:22
0.53,"1.90.0",4045,2018-07-19 10:09:35
0.54,"1.90.0",4045,2018-07-19 10:08:22
0.75,"1.90.0",1030,2018-07-19 20:58:08
