Battery_Used,ElapsedTimestamp
0.040000000000000036,21
0.09,36
0.10999999999999999,820
0.010000000000000009,200
0.009999999999999953,70
0.36000000000000004,5049
0.020000000000000018,120
0.08000000000000007,602
0.009999999999999898,60
0.010000000000000009,58
0.10999999999999999,1220
0.010000000000000002,60
0.06,1140
0.039999999999999994,360
0.14,3956
0.4,2171
0.010000000000000009,180
0.010000000000000009,120
0.010000000000000009,90
0.019999999999999962,150
0.030000000000000027,143
0.020000000000000018,360
0.010000000000000009,10
0.010000000000000009,44
0.009999999999999981,121
0.050000000000000044,878
