Battery_Used,ElapsedTimestamp
0.010000000000000009,70
0.020000000000000018,140
0.07999999999999996,930
0.07,600
0.010000000000000009,84
0.06999999999999995,900
0.25,2850
0.09000000000000008,1230
0.020000000000000018,270
0.020000000000000018,300
0.06,410
0.41,5554
0.030000000000000027,210
0.25,46167
0.30999999999999994,3190
0.45000000000000007,4260
0.29000000000000004,3051
0.020000000000000018,280
0.04999999999999993,620
0.010000000000000009,54
0.31999999999999995,2814
0.18000000000000005,1880
0.39,3667
0.29999999999999993,2820
0.87,7317
0.5499999999999999,5339
0.010000000000000009,151
0.17000000000000004,7491
0.24,2490
0.32,1835
0.12,940
0.10999999999999999,1211
0.15000000000000002,1468
0.09999999999999998,1000
0.040000000000000036,434
0.07999999999999996,829
0.29000000000000004,2806
0.009999999999999898,77
0.010000000000000009,180
0.22999999999999998,4833
0.07000000000000006,1360
0.38,7220
0.43999999999999995,6416
