Battery_Used,ElapsedTimestamp
0.24,1837
0.03999999999999998,1650
0.020000000000000018,850
0.09000000000000002,2836
0.07,2166
0.04000000000000001,539
0.03,96
0.009999999999999995,7
0.020000000000000018,872
0.03,45
0.020000000000000004,61
0.04999999999999999,1223
0.030000000000000027,605
0.020000000000000018,140
0.03,735
0.010000000000000009,181
0.26999999999999996,1038
0.15,452
0.05999999999999994,270
0.010000000000000009,124
0.33999999999999997,1022
0.08000000000000002,240
0.030000000000000027,120
0.020000000000000018,84
0.010000000000000009,60
0.08999999999999997,750
0.009999999999999953,16
0.010000000000000009,60
0.14,1110
0.19999999999999996,1831
0.18,1260
0.010000000000000009,107
0.050000000000000044,531
0.38999999999999996,2611
0.010000000000000009,55
0.010000000000000009,48
0.05999999999999994,962
0.010000000000000009,178
0.020000000000000018,170
0.010000000000000009,91
0.010000000000000009,112
0.020000000000000018,128
0.019999999999999907,142
0.04999999999999999,37972
0.010000000000000009,98
0.05999999999999994,519
0.030000000000000027,432
0.25,1981
0.020000000000000018,228
0.030000000000000006,157
0.030000000000000027,400
0.010000000000000009,160
0.020000000000000018,240
0.2,239
0.27,271
0.08999999999999997,630
0.050000000000000044,350
0.14999999999999997,1048
0.020000000000000018,193
0.07,490
0.16999999999999998,1190
0.030000000000000027,180
0.050000000000000044,400
0.010000000000000009,30
0.010000000000000009,421
0.010000000000000009,27
0.04,520
0.010000000000000009,130
0.7,4889
0.31999999999999995,3112
0.38000000000000006,2198
0.030000000000000027,122
0.020000000000000004,12
0.10999999999999999,1061
0.03999999999999998,5477
0.009999999999999995,1306
0.05999999999999994,223
0.11000000000000004,511
0.040000000000000036,204
0.060000000000000026,189
0.16,366
0.11000000000000001,1066
0.1,950
0.37,22210
0.06999999999999995,482
0.07999999999999996,424
0.009999999999999898,63
0.18000000000000005,612
0.039999999999999994,220
0.03999999999999998,27
0.07999999999999999,340
0.060000000000000005,119
0.009999999999999953,65
0.20999999999999996,1019
0.23,8206
0.07999999999999996,354
0.050000000000000044,134
0.07999999999999996,667
0.12999999999999998,566
0.14,112
0.030000000000000027,200
0.26,967
0.020000000000000018,140
0.04000000000000001,117
0.010000000000000009,5
0.040000000000000036,434
0.1100000000000001,770
0.010000000000000009,48
0.03999999999999998,810
0.040000000000000036,6339
0.010000000000000009,66
0.10999999999999999,498
0.36000000000000004,3257
0.010000000000000009,45
0.15999999999999992,798
0.48000000000000004,2883
0.12999999999999995,788
0.03,290
0.02999999999999997,275
0.08999999999999997,80
0.03,36
0.14,598
0.38999999999999996,1552
0.45999999999999996,2219
0.28,1463
0.05,679
0.6799999999999999,2171
0.009999999999999995,66
0.040000000000000036,18355
0.08999999999999997,1260
0.050000000000000044,542
0.029999999999999916,2156
0.039999999999999925,420
0.07000000000000006,903
0.06999999999999995,1263
0.25,2947
0.2,200
0.010000000000000009,70
0.5,3567
0.08000000000000007,609
0.08000000000000002,7067
0.54,1254
0.51,2142
0.1299999999999999,475
0.44999999999999996,730
0.24,1652
0.4,2015
0.19,932
0.24,1469
0.020000000000000018,120
0.030000000000000027,89
0.010000000000000009,54
0.19,873
0.020000000000000018,251
0.26,2806
0.57,4941
0.30999999999999994,3419
0.18999999999999995,1898
0.12,1222
0.08999999999999997,910
0.06999999999999995,504
0.06999999999999995,625
0.039999999999999925,7264
0.19,1406
0.66,5802
0.029999999999999916,305
0.07999999999999996,830
0.64,6757
0.21999999999999997,2298
0.12,2036
0.010000000000000009,219
0.010000000000000009,63
0.06000000000000005,547
0.09000000000000002,483
0.04999999999999993,369
0.5599999999999999,2820
0.17,658
0.48,4558
0.010000000000000009,43
0.009999999999999898,92
0.010000000000000009,92
0.010000000000000009,104
0.040000000000000036,257
0.009999999999999953,91
0.03999999999999998,287
0.08000000000000002,635
0.38,2959
0.38,2766
0.07,698
0.020000000000000018,139
0.51,3687
0.32,2570
0.54,4307
0.37,3492
0.59,48255
0.30000000000000004,3093
0.04999999999999999,351
0.5599999999999999,5195
0.08999999999999997,894
0.21999999999999997,2233
0.10999999999999999,1082
0.13999999999999996,1241
0.27,2190
0.22000000000000003,1626
0.020000000000000018,187
0.029999999999999916,295
0.04999999999999993,500
0.020000000000000018,443
0.48,5255
0.009999999999999953,84
0.41000000000000003,3241
0.09999999999999999,626
0.25,2671
0.67,6213
0.16000000000000003,1501
0.019999999999999962,97
0.010000000000000009,32
0.07,301
0.2899999999999999,2724
0.010000000000000009,246
0.41000000000000003,3294
0.030000000000000027,182
0.18,1371
0.24,2553
0.48,3827
0.06,785
0.18,1712
0.36999999999999994,2909
0.18000000000000005,3147
0.12,13046
0.07000000000000006,1136
0.07999999999999996,1372
0.039999999999999925,723
0.06999999999999995,1330
0.12,2268
0.30999999999999994,6097
0.07999999999999996,481
0.21999999999999997,2448
0.010000000000000009,61
