"name","battery_level","version_name","device_id","timestamp"
com.amanotes.beathopper,1.00,"2.8.1",38280,2019-05-28 04:07:19
com.amanotes.beathopper,0.33,"2.7.4",38875,2019-02-22 07:07:55
com.amanotes.beathopper,0.32,"2.7.4",38875,2019-02-22 07:07:57
com.amanotes.beathopper,0.32,"2.7.4",38875,2019-02-22 07:08:08
com.amanotes.beathopper,0.31,"2.7.4",38875,2019-02-22 07:08:12
com.amanotes.beathopper,0.29,"2.7.4",38875,2019-02-22 07:08:16
com.amanotes.beathopper,0.25,"2.7.4",38875,2019-02-22 07:08:22
com.amanotes.beathopper,0.24,"2.7.4",38875,2019-02-22 07:08:30
com.amanotes.beathopper,0.23,"2.7.4",38875,2019-02-22 07:08:31
com.amanotes.beathopper,0.21,"2.7.4",38875,2019-02-22 07:08:34
com.amanotes.beathopper,0.20,"2.7.4",38875,2019-02-22 07:08:40
com.amanotes.beathopper,0.19,"2.7.4",38875,2019-02-22 07:08:44
com.amanotes.beathopper,0.18,"2.7.4",38875,2019-02-22 07:08:46
com.amanotes.beathopper,0.17,"2.7.4",38875,2019-02-22 07:08:47
com.amanotes.beathopper,0.16,"2.7.4",38875,2019-02-22 07:08:52
com.amanotes.beathopper,0.16,"2.7.4",38875,2019-02-22 07:08:58
com.amanotes.beathopper,0.63,"2.7.4.1",47573,2019-03-21 18:40:23
com.amanotes.beathopper,0.62,"2.7.4.1",47573,2019-03-21 18:43:03
com.amanotes.beathopper,0.61,"2.7.4.1",47573,2019-03-21 18:43:43
com.amanotes.beathopper,0.60,"2.7.4.1",47573,2019-03-21 18:44:43
com.amanotes.beathopper,0.59,"2.7.4.1",47573,2019-03-21 18:45:43
com.amanotes.beathopper,0.58,"2.7.4.1",47573,2019-03-21 18:46:43
com.amanotes.beathopper,0.57,"2.7.4.1",47573,2019-03-21 18:47:43
com.amanotes.beathopper,0.56,"2.7.4.1",47573,2019-03-21 18:49:03
com.amanotes.beathopper,0.55,"2.7.4.1",47573,2019-03-21 18:50:43
com.amanotes.beathopper,0.54,"2.7.4.1",47573,2019-03-21 18:51:23
com.amanotes.beathopper,0.53,"2.7.4.1",47573,2019-03-21 18:52:43
com.amanotes.beathopper,0.52,"2.7.4.1",47573,2019-03-21 18:54:03
com.amanotes.beathopper,0.71,"2.7.4.1",47573,2019-03-26 05:49:49
com.amanotes.beathopper,0.71,"2.7.4.2",47573,2019-03-28 06:36:16
com.amanotes.beathopper,0.07,"2.7.6",54815,2019-04-22 16:29:21
com.amanotes.beathopper,0.06,"2.7.6",54815,2019-04-22 16:32:41
com.amanotes.beathopper,0.35,"2.7.6",54815,2019-04-23 16:09:49
com.amanotes.beathopper,0.35,"2.7.6",54815,2019-04-23 16:09:59
com.amanotes.beathopper,0.35,"2.7.6",54815,2019-04-23 16:10:11
com.amanotes.beathopper,0.34,"2.7.6",54815,2019-04-23 16:10:59
com.amanotes.beathopper,0.71,"2.7.6",56984,2019-05-03 17:58:45
com.amanotes.beathopper,0.11,"2.7.6",57179,2019-04-19 13:41:32
com.amanotes.beathopper,0.66,"2.8.0",63751,2019-05-11 04:52:14
com.amanotes.beathopper,0.65,"2.8.0",63751,2019-05-11 04:53:29
com.amanotes.beathopper,0.64,"2.8.0",63751,2019-05-11 04:55:13
com.amanotes.beathopper,0.63,"2.8.0",63751,2019-05-11 04:57:13
