Battery_Used,Version,ElapsedTimestamp
0.53,1.39.0,1581
0.07,1.39.0,210
0.18,1.39.0,918
0.01,1.39.0,31
0.61,1.39.0,1835
0.24,1.39.0,707
0.02,1.39.0,60
0.61,1.39.0,1835
0.53,1.39.0,1594
0.31,1.39.0,932
0.01,1.39.0,106
0.52,1.39.0,1565
0.04,1.39.0,120
0.88,1.39.0,2707
0.07,1.39.0,199
0.06,1.39.0,981
0.01,1.39.0,29
0.13,1.39.0,2299
0.09,1.39.0,1092
0.05,1.39.0,720
0.04,1.39.0,303
0.04,1.39.0,1850
0.08,1.39.0,1100
0.01,1.39.0,60
0.1,1.39.0,833
0.36,1.39.0,17829
0.02,1.39.0,68229
0.05,1.39.0,475
0.02,1.39.0,701
0.02,1.39.0,476
0.01,1.39.0,197
0.01,1.39.0,88
0.1,1.39.0,1884
0.12,1.39.0,275
0.08,1.39.0,561
0.02,1.39.0,130
0.03,1.39.0,97
0.04,1.39.0,193
0.03,1.39.0,97
0.03,1.39.0,67
0.11,1.39.0,622
0.01,1.39.0,21
0.08,1.39.0,962
0.59,1.39.0,16597
0.09,1.39.0,64600
0.1,1.39.0,777
0.04,1.39.0,46
0.03,1.39.0,113
0.21,1.39.0,1879
0.01,1.39.0,60
0.01,1.39.0,343
0.17,1.39.0,1637
0.18,1.39.0,1757
0.05,1.39.0,987
0.03,1.39.0,243
0.01,1.39.0,91
0.26,1.39.0,1970
0.05,1.39.0,272
0.09,1.39.0,272
0.1,1.39.0,1241
0.42,1.39.0,3787
0.04,1.39.0,91
0.1,1.39.0,2131
0.33,1.39.0,28921
0.22,1.39.0,848
0.02,1.39.0,30
0.2,1.39.0,1212
0.08,1.39.0,588
0.01,1.39.0,212
0.23,1.39.0,3393
0.14,1.39.0,1605
0.01,1.39.0,122
0.13,1.39.0,15672
0.13,1.39.0,1091
0.01,1.39.0,725
0.01,1.39.0,606
0.17,1.39.0,13688
0.07,1.39.0,1212
0.47,1.39.0,52920
0.41,1.39.0,5905
0.02,1.39.0,230
0.14,1.39.0,2383
0.02,1.39.0,355
0.01,1.39.0,80
0.02,1.39.0,140
0.01,1.39.0,10
0.01,1.39.0,44
0.01,1.39.0,206
0.02,1.39.0,189
0.01,1.39.0,70
0.16,1.39.0,993
0.04,1.24.0,290
0.01,1.24.0,150
0.05,1.24.0,898
0.14,1.24.0,2266
0.06,1.24.0,462
0.01,1.24.0,24
0.23,1.24.0,1860
0.02,1.24.0,47
0.02,1.24.0,15
0.04,1.24.0,49
0.11,1.24.0,138
0.04,1.24.0,39
0.22,1.24.0,585
0.1,1.24.0,1188
0.17,1.24.0,244
0.01,1.24.0,11
0.04,1.24.0,392
0.02,1.24.0,152
0.08,1.36.0,387
0.03,1.36.0,194
0.01,1.36.0,310
0.16,1.36.0,7213
0.08,1.36.0,2385
0.38,1.36.0,15791
0.06,1.36.0,2263
0.03,1.36.0,900
0.14,1.36.0,3425
0.04,1.36.0,361
0.01,1.36.0,70
0.05,1.36.0,221
0.02,1.36.0,75
0.02,1.36.0,38
0.11,1.36.0,2696
0.01,1.36.0,150
0.02,1.36.0,256
0.06,1.36.0,92
0.34,1.36.0,2384
0.01,1.36.0,40
0.1,1.36.0,375
0.04,1.36.0,240
0.03,1.36.0,162
0.02,1.36.0,245
0.02,1.36.0,18289
0.02,1.36.0,99
0.01,1.36.0,379
0.01,1.36.0,150
0.03,1.36.0,447
0.03,1.36.0,442
0.05,1.36.0,800
0.1,1.36.0,1187
0.01,1.36.0,155
0.03,1.36.0,370
0.01,1.36.0,57582
0.01,1.36.0,5
0.02,1.36.0,392
0.01,1.36.0,101
0.02,1.36.0,263
0.01,1.36.0,188
0.01,1.36.0,74751
0.02,1.36.0,407
0.02,1.36.0,47
0.04,1.36.0,1067
0.01,1.36.0,257
0.02,1.36.0,536
0.07,1.36.0,3192
0.03,1.36.0,15
0.03,1.36.0,95
0.04,1.36.0,121
0.01,1.36.0,45
0.06,1.36.0,10184
0.02,1.36.0,107
0.05,1.36.0,423
0.01,1.36.0,58
0.25,1.36.0,1999
0.46,1.36.0,4069
0.18,1.36.0,1510
0.3,1.36.0,1711
0.02,1.36.0,126
0.14,1.36.0,1255
0.33,1.36.0,2707
0.17,1.36.0,1235
0.02,1.36.0,45
0.59,1.36.0,4937
0.07,1.36.0,519
0.3,1.36.0,2438
0.56,1.36.0,3756
0.73,1.36.0,5640
0.23,1.36.0,1146
0.5,1.36.0,4116
0.45,1.36.0,2831
0.17,1.36.0,852
0.55,1.36.0,4910
0.08,1.36.0,470
0.78,1.36.0,6258
0.45,1.36.0,3807
0.04,1.36.0,236
0.23,1.36.0,1623
0.37,1.36.0,2259
0.09,1.36.0,540
0.37,1.36.0,3248
0.1,1.36.0,638
0.31,1.36.0,1990
0.6,1.36.0,4308
0.28,1.36.0,2371
0.65,1.36.0,4283
0.57,1.36.0,4194
0.38,1.36.0,3045
0.02,1.36.0,196
0.09,1.36.0,767
0.52,1.36.0,3867
0.13,1.36.0,541
0.04,1.36.0,277
0.05,1.36.0,51439
0.09,1.36.0,642
0.04,1.36.0,251
0.07,1.36.0,426
0.78,1.36.0,2500
0.04,1.36.0,229
0.09,1.36.0,622
0.05,1.36.0,171
0.04,1.36.0,300
0.07,1.36.0,470
0.01,1.36.0,5
0.02,1.36.0,71
0.03,1.35.0,362
0.05,1.35.0,156
0.01,1.35.0,17
0.01,1.35.0,25
0.01,1.35.0,19
0.01,1.35.0,23
0.11,1.35.0,1744
0.01,1.35.0,26
0.19,1.35.0,586
0.64,1.35.0,1925
0.31,1.35.0,1143
0.2,1.35.0,594
0.04,1.35.0,114
0.27,1.35.0,1188
0.32,1.35.0,962
0.16,1.35.0,2816
0.15,1.35.0,1122
0.18,1.35.0,1005
0.01,1.35.0,12
0.04,1.35.0,260
0.14,1.23.2,1153
0.13,1.23.2,1048
0.49,1.23.2,3561
0.04,1.19.0,780
0.01,1.19.0,210
0.11,1.19.0,1612
0.08,1.19.0,1470
0.01,1.19.0,50
0.02,1.19.0,200
0.03,1.19.0,510
0.01,1.19.0,164
0.08,1.19.0,1686
0.05,1.19.0,22794
0.05,1.19.0,579
0.08,1.19.0,1536
0.06,1.19.0,931
0.1,1.19.0,1653
0.13,1.19.0,1984
0.01,1.19.0,270
0.06,1.19.0,849
0.21,1.19.0,2555
0.28,1.19.0,10249
0.27,1.19.0,4798
0.21,1.19.0,3157
0.09,1.19.0,1263
